FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VDS
 V A V
312 -68 -3.57656E-06 -68
313 -69 -3.57819E-06 -69
314 -70 -3.57945E-06 -70
315 -71 -3.58029E-06 -71
316 -72 -3.58181E-06 -72
317 -73 -3.58301E-06 -73
318 -74 -3.58369E-06 -74
319 -75 -3.58488E-06 -75
320 -76 -3.58569E-06 -76
321 -77 -3.58676E-06 -77
322 -78 -3.58803E-06 -78
323 -79 -3.58902E-06 -79
324 -80 -3.59027E-06 -80
325 0 3.4701E-09 0
326 -1 -3.0434E-07 -1
327 -2 -5.88094E-07 -2
328 -3 -8.54076E-07 -3
329 -4 -1.10273E-06 -4
330 -5 -1.33926E-06 -5
331 -6 -1.55801E-06 -6
332 -7 -1.76307E-06 -7
333 -8 -1.95358E-06 -8
334 -9 -2.13176E-06 -9
335 -10 -2.29612E-06 -10
336 -11 -2.44918E-06 -11
337 -12 -2.5912E-06 -12
338 -13 -2.72156E-06 -13
339 -14 -2.84236E-06 -14
340 -15 -2.95295E-06 -15
341 -16 -3.05408E-06 -16
342 -17 -3.1463E-06 -17
343 -18 -3.23069E-06 -18
344 -19 -3.30679E-06 -19
345 -20 -3.3756E-06 -20
346 -21 -3.43798E-06 -21
347 -22 -3.49366E-06 -22
348 -23 -3.54327E-06 -23
349 -24 -3.58869E-06 -24
350 -25 -3.62812E-06 -25
351 -26 -3.664E-06 -26
352 -27 -3.69545E-06 -27
353 -28 -3.72356E-06 -28
354 -29 -3.74811E-06 -29
355 -30 -3.76964E-06 -30
356 -31 -3.78852E-06 -31
357 -32 -3.80539E-06 -32
358 -33 -3.8202E-06 -33
359 -34 -3.83329E-06 -34
360 -35 -3.84503E-06 -35
361 -36 -3.85518E-06 -36
362 -37 -3.86442E-06 -37
363 -38 -3.87239E-06 -38
364 -39 -3.87979E-06 -39
365 -40 -3.88609E-06 -40
366 -41 -3.89126E-06 -41
367 -42 -3.89671E-06 -42
368 -43 -3.90098E-06 -43
369 -44 -3.90544E-06 -44
370 -45 -3.90948E-06 -45
371 -46 -3.91255E-06 -46
372 -47 -3.91621E-06 -47
373 -48 -3.91927E-06 -48
374 -49 -3.92253E-06 -49
375 -50 -3.92506E-06 -50
376 -51 -3.92748E-06 -51
377 -52 -3.92974E-06 -52
378 -53 -3.93179E-06 -53
379 -54 -3.93323E-06 -54
380 -55 -3.93558E-06 -55
381 -56 -3.93734E-06 -56
382 -57 -3.93931E-06 -57
383 -58 -3.94109E-06 -58
384 -59 -3.943E-06 -59
385 -60 -3.94452E-06 -60
386 -61 -3.94582E-06 -61
387 -62 -3.94764E-06 -62
388 -63 -3.94934E-06 -63
389 -64 -3.95112E-06 -64
390 -65 -3.95232E-06 -65
391 -66 -3.95327E-06 -66
392 -67 -3.9543E-06 -67
393 -68 -3.95641E-06 -68
394 -69 -3.95752E-06 -69
395 -70 -3.95881E-06 -70
396 -71 -3.95968E-06 -71
397 -72 -3.9606E-06 -72
398 -73 -3.96173E-06 -73
399 -74 -3.96319E-06 -74
400 -75 -3.96384E-06 -75
401 -76 -3.96546E-06 -76
402 -77 -3.9659E-06 -77
403 -78 -3.96713E-06 -78
404 -79 -3.96831E-06 -79
405 -80 -3.96903E-06 -80
406 0 4.1845E-09 0
407 -1 -3.21881E-07 -1
408 -2 -6.23472E-07 -2
409 -3 -9.06924E-07 -3
410 -4 -1.17269E-06 -4
411 -5 -1.42615E-06 -5
412 -6 -1.66132E-06 -6
413 -7 -1.88274E-06 -7
414 -8 -2.08904E-06 -8
415 -9 -2.28229E-06 -9
416 -10 -2.46193E-06 -10
417 -11 -2.62997E-06 -11
418 -12 -2.78582E-06 -12
419 -13 -2.92992E-06 -13
420 -14 -3.06361E-06 -14
421 -15 -3.18653E-06 -15
422 -16 -3.2998E-06 -16
423 -17 -3.40338E-06 -17
424 -18 -3.49871E-06 -18
425 -19 -3.58546E-06 -19
426 -20 -3.66426E-06 -20
427 -21 -3.73535E-06 -21
428 -22 -3.80057E-06 -22
429 -23 -3.8582E-06 -23
430 -24 -3.91128E-06 -24
431 -25 -3.95786E-06 -25
432 -26 -4E-06 -26
433 -27 -4.03716E-06 -27
434 -28 -4.07024E-06 -28
435 -29 -4.09958E-06 -29
436 -30 -4.1255E-06 -30
437 -31 -4.14833E-06 -31
438 -32 -4.16869E-06 -32
439 -33 -4.18671E-06 -33
440 -34 -4.20329E-06 -34
441 -35 -4.21786E-06 -35
442 -36 -4.22993E-06 -36
443 -37 -4.24093E-06 -37
444 -38 -4.25071E-06 -38
445 -39 -4.25992E-06 -39
446 -40 -4.26699E-06 -40
447 -41 -4.27426E-06 -41
448 -42 -4.28049E-06 -42
449 -43 -4.2859E-06 -43
450 -44 -4.29049E-06 -44
451 -45 -4.29493E-06 -45
452 -46 -4.29918E-06 -46
453 -47 -4.30279E-06 -47
454 -48 -4.30593E-06 -48
455 -49 -4.30893E-06 -49
456 -50 -4.3123E-06 -50
457 -51 -4.31512E-06 -51
458 -52 -4.3174E-06 -52
459 -53 -4.32001E-06 -53
460 -54 -4.32258E-06 -54
461 -55 -4.32502E-06 -55
462 -56 -4.32698E-06 -56
463 -57 -4.32887E-06 -57
464 -58 -4.33073E-06 -58
465 -59 -4.33252E-06 -59
466 -60 -4.33359E-06 -60
467 -61 -4.33558E-06 -61
468 -62 -4.33728E-06 -62
469 -63 -4.339E-06 -63
470 -64 -4.34043E-06 -64
471 -65 -4.34173E-06 -65
472 -66 -4.34353E-06 -66
473 -67 -4.34486E-06 -67
474 -68 -4.34587E-06 -68
475 -69 -4.34723E-06 -69
476 -70 -4.34844E-06 -70
477 -71 -4.3496E-06 -71
478 -72 -4.35062E-06 -72
479 -73 -4.35167E-06 -73
480 -74 -4.35301E-06 -74
481 -75 -4.3542E-06 -75
482 -76 -4.35508E-06 -76
483 -77 -4.35574E-06 -77
484 -78 -4.3572E-06 -78
485 -79 -4.35805E-06 -79
486 -80 -4.35936E-06 -80
487 0 5.1505E-09 0
488 -1 -3.39212E-07 -1
489 -2 -6.58439E-07 -2
490 -3 -9.5907E-07 -3
491 -4 -1.24158E-06 -4
492 -5 -1.51194E-06 -5
493 -6 -1.76383E-06 -6
494 -7 -2.00134E-06 -7
495 -8 -2.22358E-06 -8
496 -9 -2.43253E-06 -9
497 -10 -2.62728E-06 -10
498 -11 -2.80993E-06 -11
